# Arabic WordNet (AWN)	arb	http://www.globalwordnet.org/AWN/	CC BY SA 3.0
07601999-n	lemma	شُوكُولاتَة
07602279-n	lemma	شُوكُولاتَة طَبْخ
09945319-n	lemma	شُيُوعِيّ
06214744-n	lemma	شُيُوعِيَّة
08365855-n	lemma	شُيُوعِيَّة
08102555-n	lemma	شثعْبَة
04617289-n	lemma	شيء
09543353-n	lemma	شيطان
09083390-n	lemma	شيكاغو
01754876-n	lemma	ذاتُ الأَجْراس 
00935987-v	lemma	ذَاعَ
00975902-v	lemma	ذَاعَ
00443984-v	lemma	ذَابَ
00446329-v	lemma	ذَابَ
05651399-n	lemma	ذَاكِرَة
05760202-n	lemma	ذَاكِرَة
05762149-n	lemma	ذَاكِرَة
05935060-n	lemma	ذَاكِرَة
02194286-v	lemma	ذَاقَ
02191546-v	lemma	ذَاقَ
05675601-n	lemma	ذَات
04618781-n	lemma	ذَات
02068476-a	lemma	ذَاتَه
02703289-v	lemma	ذَعَنَ
00479176-v	lemma	ذَبَحَ
02482425-v	lemma	ذَبَحَ
01322854-v	lemma	ذَبَحَ
00241689-v	lemma	ذَبَلَ
02482425-v	lemma	ذَبَّحَ
00076193-r	lemma	ذَهَابَاً و إِيَابَاً
14638799-n	lemma	ذَهَب
01192992-v	lemma	ذَهَبَ
01935233-v	lemma	ذَهَبَ
02008396-v	lemma	ذَهَبَ
02014165-v	lemma	ذَهَبَ
02015598-v	lemma	ذَهَبَ
02653862-v	lemma	ذَهَبَ
05617606-n	lemma	ذَكَاء
05618056-n	lemma	ذَكَاء
04814238-n	lemma	ذَكَاء
10287213-n	lemma	ذَكَر
01321230-n	lemma	ذَكَر
09624168-n	lemma	ذَكَر
00607780-v	lemma	ذَكَرَ
01024190-v	lemma	ذَكَرَ
01476685-a	lemma	ذَكَرِي
00610538-v	lemma	ذَكَّرَ
00877848-v	lemma	ذَكَّرَ
02063771-v	lemma	ذَلَّ
06715223-n	lemma	ذَمّ
00770270-n	lemma	ذَنْب
13990675-n	lemma	ذَنْب
05599617-n	lemma	ذَقْن
06759776-n	lemma	ذَرِيعَة
06759349-n	lemma	ذَرِيعَة
01376245-v	lemma	ذَرَّ
02082690-v	lemma	ذَرَّ
14619225-n	lemma	ذَرَّة
14585519-n	lemma	ذَرَّة
14640756-n	lemma	ذَرَّة هَيْدرُوجِين
00610532-a	lemma	ذَرِّي
02884619-a	lemma	ذَرِّيّ
02862444-a	lemma	ذَرِّيّ
02188065-n	lemma	ذَواتُ الجَناحَين 
01471070-n	lemma	ذَوَات العَمُود الفَقَرِي
02370525-n	lemma	ذَوَات الحَافِر
11551211-n	lemma	ذَوَات البُذُور
02370806-n	lemma	ذَوَات الحَوَافِر
13566535-n	lemma	ذَوَبَان
05658226-n	lemma	ذَوْق
00882702-n	lemma	ذَوْق
05715283-n	lemma	ذَوْق
05749619-n	lemma	ذَوْق
02868916-a	lemma	ذَوْقِي
02265015-a	lemma	ذَوَّاب 
00376106-v	lemma	ذَوَّبَ
00447309-v	lemma	ذَوَّبَ
00446514-v	lemma	ذَوَّبَ
02703275-n	lemma	ذَخِيرَة
13358549-n	lemma	ذَخِيرَة
02157557-n	lemma	ذَيْل
05826914-n	lemma	ذَيْل
02158846-n	lemma	ذَيْل
01328705-v	lemma	ذَيَّلَ
00042757-n	lemma	ذِهَاب
02898750-a	lemma	ذِهْنِيّ
07230502-n	lemma	ذِكْر
05935292-n	lemma	ذِكْرَى
13396054-n	lemma	ذِمَّة
07970721-n	lemma	ذِنَاْبَة
05563770-n	lemma	ذِرَاع
00969873-v	lemma	ذِيْعَ
07520612-n	lemma	ذُعْر
02190166-n	lemma	ذُبَابَة
14398067-n	lemma	ذُهَان
07510495-n	lemma	ذُهُول
05700625-n	lemma	ذُهُول
07510625-n	lemma	ذُهُول
05008227-n	lemma	ذُكُورَة
14440137-n	lemma	ذُلّ
14439447-n	lemma	ذُلّ
08663860-n	lemma	ذُرْوَة
13940456-n	lemma	ذُرْوَة
10373998-n	lemma	ذُرْيَّة
13813765-n	lemma	ذُرَّيَّة
08101937-n	lemma	ذُرَّيَّة
04922787-n	lemma	ذُرِّيَّة
02370806-n	lemma	ذُو حَوَافِر
02394477-n	lemma	ذُو حَوَافِر مُزْدَوِج الأَصَابِع
02394477-n	lemma	ذُو حَوَافِر مِن مُزْدَوِجَات الأَصَابِع
03048558-a	lemma	ذُو حَدَّيْن
02532508-a	lemma	ذُو دَمّ حَار
02695966-a	lemma	ذو حَبْل ظَهْرِي
11074140-n	lemma	إشعياء
11074140-n	lemma	إشعيا
06791372-n	lemma	إشَارَة
06797169-n	lemma	إشَارَة
06876309-n	lemma	إشَارَة
07231048-n	lemma	إشَارَة
09027089-n	lemma	إشبيلي
11499284-n	lemma	إشْعَاع
01253060-n	lemma	إشْعَاع
11421401-n	lemma	إشْعَاع أكْتِينِي
11421401-n	lemma	إشْعَاع سَافِع
07531255-n	lemma	إشْبَاع
07553741-n	lemma	إشْفَاق
01063188-v	lemma	إشْتَرَطَ
10618848-n	lemma	إشْتِراكِيّ
06220616-n	lemma	إشْتِرَاكِيَّة
13566535-n	lemma	إذَابَة
07537973-n	lemma	إضْعَاف
00272713-n	lemma	إضْعَاف
00272713-n	lemma	إضْعَاف المَعْنَوِيَّات
14393161-n	lemma	إضْطِرَاب عَصَبِي
01243674-n	lemma	إضْرَاب
01242962-n	lemma	إضْرَاب عَن الطَّعَام
00268557-n	lemma	إعَادَة تَأهِيل
00897811-n	lemma	إعَادَة نَظَر
01215719-n	lemma	إعَادَة الطُمأنِينَة
13296899-n	lemma	إعَانَة مَالِيَّة
01073995-n	lemma	إعَاقَة
01218593-n	lemma	إعْجاب
06725877-n	lemma	إعْلان
06793426-n	lemma	إعْلان
05772356-n	lemma	إعْمَال الفِكْر
02447793-v	lemma	إعْتَمَدَ
05042138-n	lemma	إعْيَاء
00240184-n	lemma	إحداث
05651971-n	lemma	إحْسَاس
05677504-n	lemma	إحْسَاس
05712076-n	lemma	إحْسَاس
00377002-v	lemma	إحْتَرَق
01242164-n	lemma	إحْتِجاج
00116376-n	lemma	إٍعْلاء
00095502-n	lemma	إٍعْتَاق
00419876-r	lemma	إٍدْرَاكِياً
02945377-a	lemma	إٍدْرَاكِيحِسِّي
02945377-a	lemma	إٍدْرَاكِي
00088725-n	lemma	إٍلْقَاء القَبْض عَلَى
